J,K,y_0,n_0,y_1,n_1,est,se,median,q2.75,q97.5
1,1,26,225,69,230,1.1879104263158065,0.06419059783709118,1.18961,1.0703197250000003,1.3105340000000003
2,1,8,102,14,100,0.6485632739519189,0.218694776277656,0.734316,0.333516405,1.142938
3,1,12,171,36,177,1.2187566005101729,0.124492617868772,1.2170750000000001,0.9825294624999998,1.4659585000000004
4,1,3,122,21,124,2.0903046539372068,0.3990644801609965,1.761235,1.1275334,2.434892
5,2,43,146,89,164,1.0446771287319028,0.05753384020707915,1.04072,0.933489705,1.1520692500000003
6,2,14,34,25,35,1.2729656758128876,0.26142857142857145,1.1652500000000001,0.707473085,1.6473977500000003
7,2,52,265,77,233,0.7039978617321445,0.0433228743087898,0.7040155,0.62288889,0.78495775
8,2,12,30,17,33,0.4660897299245993,0.26021241830065356,0.520385,0.07870401349999999,0.9722188750000001
9,2,23,111,39,111,0.7287381256626478,0.09437181176311613,0.7295415000000001,0.5611252449999999,0.91254015
10,2,29,103,45,103,0.6829887424415961,0.08745987366677022,0.6852905,0.5209323625000001,0.8532002
11,2,33,94,59,97,1.0543175868861645,0.08996141494203821,1.04434,0.8791057099999999,1.215785
12,2,14,46,19,50,0.3371303478657621,0.18756821489206887,0.38758000000000004,0.03987279949999999,0.7351394
13,2,85,202,106,200,0.4396669901495029,0.04038397456585285,0.4424165,0.366791835,0.519664625
14,3,13,99,51,107,1.7958718807811476,0.12601596989421887,1.7574450000000001,1.5190398250000001,1.9962702500000002
15,3,14,91,40,91,1.4618019136280358,0.12902342755283933,1.442415,1.2043474500000002,1.6818612500000003
16,3,84,247,99,252,0.2276153307056031,0.03467668904334368,0.231495,0.1655961025,0.29935165
17,3,9,21,9,12,1.3862943611198908,0.638888888888889,1.2535950000000002,0.38798582249999997,2.1636602500000004
18,4,12,114,75,226,1.4402744402176568,0.11309310479158548,1.41016,1.1966991,1.6318402500000002
19,4,15,107,43,110,1.3702458722494266,0.11571741897187472,1.341345,1.12542175,1.5666947500000001
20,4,44,146,54,154,0.22459703994219293,0.0610497128144187,0.23241199999999998,0.11923397249999998,0.3519276250000001
21,4,18,65,22,66,0.26662866325394863,0.14501396948205458,0.312531,0.04053637574999999,0.5871384250000001
