J,K,y_0,n_0,y_1,n_1,est,se,median,q2.75,q97.5
1,1,26,225,69,230,1.1879104263158065,0.06419059783709118,1.1823100000000002,1.06245505,1.3088190000000004
2,1,8,102,14,100,0.6485632739519189,0.218694776277656,0.6985334999999999,0.29436120750000005,1.0886982500000002
3,1,12,171,36,177,1.2187566005101729,0.124492617868772,1.19985,0.9752830499999999,1.4321355000000002
4,1,3,122,21,124,2.0903046539372068,0.3990644801609965,1.6343800000000002,1.0089514,2.2879457500000004
5,2,43,146,89,164,1.0446771287319028,0.05753384020707915,1.04468,0.93135875,1.1523165000000002
6,2,14,34,25,35,1.2729656758128876,0.26142857142857145,1.1900650000000002,0.7412744325000001,1.6842315
7,2,52,265,77,233,0.7039978617321445,0.0433228743087898,0.705422,0.622647485,0.7872565249999999
8,2,12,30,17,33,0.4660897299245993,0.26021241830065356,0.56243,0.11459157499999999,1.0351110000000001
9,2,23,111,39,111,0.7287381256626478,0.09437181176311613,0.7341685,0.5494734699999999,0.923442125
10,2,29,103,45,103,0.6829887424415961,0.08745987366677022,0.689344,0.526401625,0.86092705
11,2,33,94,59,97,1.0543175868861645,0.08996141494203821,1.0496500000000002,0.8773373050000001,1.2218950000000002
12,2,14,46,19,50,0.3371303478657621,0.18756821489206887,0.41129249999999995,0.06409326474999999,0.754233575
13,2,85,202,106,200,0.4396669901495029,0.04038397456585285,0.44333000000000006,0.36442039499999995,0.5233549500000001
14,3,13,99,51,107,1.7958718807811476,0.12601596989421887,1.744655,1.5155679000000002,1.9691430000000003
15,3,14,91,40,91,1.4618019136280358,0.12902342755283933,1.4268500000000002,1.1787248000000001,1.6766725000000005
16,3,84,247,99,252,0.2276153307056031,0.03467668904334368,0.23127899999999998,0.1652468725,0.299656025
17,3,9,21,9,12,1.3862943611198908,0.638888888888889,1.0899900000000002,0.31878776499999995,1.91402825
18,4,12,114,75,226,1.4402744402176568,0.11309310479158548,1.413545,1.205095875,1.6360217500000003
19,4,15,107,43,110,1.3702458722494266,0.11571741897187472,1.34498,1.1240456,1.5713617500000001
20,4,44,146,54,154,0.22459703994219293,0.0610497128144187,0.2341555,0.12144837249999998,0.35367865
21,4,18,65,22,66,0.26662866325394863,0.14501396948205458,0.31747400000000003,0.04640369275,0.5864060000000001
