J,K,y_0,n_0,y_1,n_1,est,se,median,q2.75,q97.5
1,1,26,225,69,230,1.1879104263158065,0.06419059783709118,1.18336,1.057867175,1.3113830000000002
2,1,8,102,14,100,0.6485632739519189,0.218694776277656,0.6938300000000001,0.30831751749999997,1.0987487500000002
3,1,12,171,36,177,1.2187566005101729,0.124492617868772,1.2024650000000001,0.97779352,1.4389255000000003
4,1,3,122,21,124,2.0903046539372068,0.3990644801609965,1.6363750000000001,1.0331948000000002,2.3190780000000006
5,2,43,146,89,164,1.0446771287319028,0.05753384020707915,1.041095,0.9323028075,1.1526912500000002
6,2,14,34,25,35,1.2729656758128876,0.26142857142857145,1.1933250000000002,0.74327796,1.6754605000000002
7,2,52,265,77,233,0.7039978617321445,0.0433228743087898,0.7054354999999999,0.6222276975,0.79026445
8,2,12,30,17,33,0.4660897299245993,0.26021241830065356,0.5586180000000001,0.10098021499999998,1.0175120000000004
9,2,23,111,39,111,0.7287381256626478,0.09437181176311613,0.7325569999999999,0.5549414750000001,0.917877725
10,2,29,103,45,103,0.6829887424415961,0.08745987366677022,0.691352,0.5215993675,0.8602633249999999
11,2,33,94,59,97,1.0543175868861645,0.08996141494203821,1.05024,0.8826925425,1.2203552500000001
12,2,14,46,19,50,0.3371303478657621,0.18756821489206887,0.4136845,0.06876775975,0.751026725
13,2,85,202,106,200,0.4396669901495029,0.04038397456585285,0.44191749999999996,0.3644412025,0.51962275
14,3,13,99,51,107,1.7958718807811476,0.12601596989421887,1.7420750000000003,1.511795875,1.9773505000000002
15,3,14,91,40,91,1.4618019136280358,0.12902342755283933,1.4268550000000002,1.19574,1.6689852500000002
16,3,84,247,99,252,0.2276153307056031,0.03467668904334368,0.2309545,0.16606135,0.299733975
17,3,9,21,9,12,1.3862943611198908,0.638888888888889,1.09495,0.3119252675,1.8855922500000002
18,4,12,114,75,226,1.4402744402176568,0.11309310479158548,1.41623,1.195462025,1.6367945000000004
19,4,15,107,43,110,1.3702458722494266,0.11571741897187472,1.3482850000000002,1.1372280750000001,1.57057325
20,4,44,146,54,154,0.22459703994219293,0.0610497128144187,0.2349715,0.11314099499999998,0.350953075
21,4,18,65,22,66,0.26662866325394863,0.14501396948205458,0.316117,0.048987999500000004,0.5951861000000002
