J,K,n_c,r_c,n_t,r_t,y,sigma
1,1,225,26,230,69,1.1879104263158065,0.25335863481849435
2,1,102,8,100,14,0.6485632739519189,0.46764813297783625
3,1,171,12,177,36,1.2187566005101729,0.3528351142797043
4,1,122,3,124,21,2.0903046539372068,0.6317155057151885
5,2,146,43,164,89,1.0446771287319028,0.2398621274963581
6,2,34,14,35,25,1.2729656758128876,0.511300861947808
7,2,265,52,233,77,0.7039978617321445,0.20814147666620847
8,2,30,12,33,17,0.4660897299245993,0.5101102021138703
9,2,111,23,111,39,0.7287381256626478,0.30719995404152667
10,2,103,29,103,45,0.6829887424415961,0.29573615549467436
11,2,94,33,97,59,1.0543175868861645,0.29993568467596216
12,2,46,14,50,19,0.3371303478657621,0.43309146250193953
13,2,202,85,200,106,0.4396669901495029,0.20095764371093938
14,3,99,13,107,51,1.7958718807811476,0.3549872813133153
15,3,91,14,91,40,1.4618019136280358,0.3591983122911901
16,3,247,84,252,99,0.22761533070560314,0.18621677970404193
17,3,21,9,12,9,1.3862943611198908,0.7993052538854533
18,4,114,12,226,75,1.4402744402176568,0.33629318279082837
19,4,107,15,110,43,1.3702458722494266,0.34017263113289214
20,4,146,44,154,54,0.22459703994219293,0.24708240085934632
21,4,65,18,66,22,0.26662866325394863,0.38080699767999876
