variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2960.8996875000003,-2960.545,6.861468612128349,6.753242999999757,-2972.8210000000004,-2950.319,1.0041820976715004,835.9304892086598,1636.443138473334
rho,-1.2554708905,-1.2512800000000002,0.17545131852992576,0.17366435099999997,-1.5407320000000002,-0.9618198500000001,1.0024110928668273,877.1265315971497,1501.7935903179593
sigma,0.76837056975,0.7492139999999999,0.14554120306126622,0.1370255985,0.5621187,1.036347,1.002919254641514,1282.0369113867994,2164.571746521675
z_phi[1],-0.906386456425,-0.9026449999999999,0.34289244845952394,0.34918195200000024,-1.49015,-0.37126540000000025,1.002597863121143,1524.2805326645453,2431.6008866865695
z_phi[2],-1.53782230415,-1.5220850000000001,0.4479962412894193,0.43979105099999993,-2.2798765000000003,-0.8166454500000002,1.002271969275197,1755.8375700099944,2473.5386736933647
z_phi[3],-1.4925825985,-1.4741,0.4118060197718983,0.41100637199999984,-2.2044280000000005,-0.84003935,1.0031954846646982,1692.7215170237857,2273.4239919766924
z_phi[4],-2.03686610025,-2.0144900000000003,0.47619321526517,0.47051793600000025,-2.8547900000000004,-1.2952250000000003,1.0012449829733583,2172.6924759075255,2771.604848961117
z_phi[5],0.528209518831725,0.51521,0.3268366611762858,0.3254484912,0.009994446500000035,1.0814035,1.0001647293674056,1394.7251945479522,2107.6532384571965
z_phi[6],1.19580201308,1.174155,0.46124027398726936,0.4608736230000001,0.4681357,1.9747120000000002,1.0014981846610644,2004.636220116364,2315.314644005078
z_phi[7],-0.239860734853175,-0.239393,0.29091978461676243,0.28801832681999995,-0.7156537,0.23227594999999987,1.0021728868269146,1290.4149052664031,1939.2810009213301
z_phi[8],0.792870483830175,0.777859,0.43548523632558267,0.4329755388,0.1008301,1.5225715,1.0008052338901967,2089.3253799747636,2742.078628581693
z_phi[9],-0.16682231918655,-0.1759185,0.3396578250562767,0.33700824927,-0.71507535,0.41594204999999906,1.0003658979399572,1853.2994628146039,2546.669068707609
z_phi[10],0.3355388269578,0.32733199999999996,0.33771171645897186,0.3369757062,-0.19290705000000002,0.90709075,1.0008793987739375,1573.2645039372226,2294.0526843633315
z_phi[11],0.8623964970625,0.8501844999999999,0.35992859346522416,0.35277058530000033,0.29156695000000005,1.4736444999999998,1.0006235416450484,1461.4224525167617,2327.1109166519195
z_phi[12],0.28190142504307497,0.269112,0.3971107333690922,0.38870321989799994,-0.35622809999999994,0.9465234499999998,1.0009823692697575,1937.2478941574948,2998.7379472507023
z_phi[13],1.1439442005,1.130635,0.35279330537558795,0.3485103342000001,0.5901417,1.7477025,1.000715251007944,1215.1104884645256,2112.393608300879
z_phi[14],-0.41566254196549995,-0.410948,0.36993071471574746,0.3627091944,-1.034467,0.17963779999999988,1.0008583477884248,1906.2965030592234,2520.8130860542256
z_phi[15],-0.330123480429475,-0.326677,0.3617841664715993,0.35598137799,-0.9418046,0.25532615,1.0014347632177139,1992.3241644435068,2243.1187444704287
z_phi[16],0.66678408039,0.654597,0.3075341643470197,0.3084986666999999,0.18980784999999997,1.1934859999999998,1.0000585480402868,1214.5866417004072,2217.2650327439087
z_phi[17],1.158684571065,1.14443,0.5006974173618735,0.4923647883,0.3481772,1.984601499999998,1.0009443761538017,2788.633117820467,2879.284905598561
