variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-21.719309380000002,-21.450450000000004,4.597626958805774,4.541796839999999,-29.671855,-14.432565,1.0037192050610653,1107.700712919825,1971.2942043390626
mu,0.98223415137,0.984299,0.5275673606022501,0.5197439625000001,0.1066842,1.8341335,1.0010290656359115,1895.105509815844,2260.868885857794
tau,0.53161668675,0.514446,0.10730835727342633,0.09875227949999997,0.38803214999999996,0.7333481999999999,1.0043280720404342,1408.5805174923757,2399.304442391855
beta[1],0.2266364540561,0.215559,0.5666952841314354,0.5635043840999999,-0.7012598999999999,1.1680224999999997,1.0013849947259439,1907.1030124978947,2360.730702683983
beta[2],-0.2251332952373,-0.230986,0.546811547172579,0.5404373519999999,-1.1286505000000002,0.6718117999999996,1.00124793512906,1880.732209884559,2152.997890503943
beta[3],0.17158275088699998,0.17117,0.5539633265078016,0.5688528636,-0.7376744999999999,1.0777819999999994,0.9998701857575263,2100.117255373963,2450.89057945806
beta[4],-0.148845595410925,-0.14392149999999998,0.5600632588504351,0.5394395621999999,-1.0653835,0.7771429499999997,1.0011656314877708,2027.6099789109487,2113.901369531644
theta[1],0.96150846166475,0.9720555,0.5674768465232783,0.5655585264,0.029108335000000034,1.8891844999999996,1.0011568067552816,1908.5757129951148,2318.9326616089133
theta[2],0.511226791633,0.512348,0.5899216397516209,0.5820776556,-0.45616909999999994,1.4668084999999995,1.0014589726825496,2014.6620630355787,2354.3781274944163
theta[3],0.9933627165387501,1.005855,0.5722960873574908,0.5705408037000002,0.05038018000000001,1.9185014999999994,1.001323796279853,1919.8276182872094,2376.4768637323627
theta[4],1.5299867153000002,1.5221900000000002,0.6284048080228323,0.6188520660000001,0.4787716,2.5645749999999996,1.0004267906258961,2460.6416080367107,2731.0431815289758
theta[5],1.26756773020425,1.2735800000000002,0.5489950120759527,0.5531476818000001,0.35874644999999994,2.1620039999999996,1.0012964215895264,1897.3370052609096,2189.2509344489663
theta[6],1.389897028055,1.3893550000000001,0.5902245643046643,0.581824131,0.42705804999999997,2.365492999999999,1.0001930359291298,2149.0728131577885,2649.5222105154285
theta[7],0.9292496632782501,0.9321145,0.5491303436644097,0.5412312843000001,0.03139186500000002,1.8347849999999999,1.0012605396948964,1886.7328140583713,2276.510888682244
theta[8],0.75291776286675,0.7653245,0.5859808010446134,0.5882126544000001,-0.19965509999999997,1.7276409999999998,1.0007043057506744,2035.616933751458,2464.9522055650486
theta[9],0.9548799580805001,0.958115,0.55313824839544,0.5479311537,0.03930678500000001,1.8701804999999998,1.0013448720194054,1898.697558521804,2247.548456882006
theta[10],0.91034348035025,0.9163855000000001,0.5516293344448887,0.5446457121000001,0.012411955,1.8244384999999999,1.0012602513380138,1885.7600421236223,2237.105406749475
theta[11],1.2694847761225,1.270445,0.5526971673769221,0.5514263832000001,0.3701888,2.1773624999999996,1.0012582383569721,1953.3168402223514,2292.8585419348697
theta[12],0.614068610995,0.6147195,0.5660517563530587,0.5768359233000001,-0.31676835,1.5293289999999997,1.0010071541150252,1950.843887450988,2446.934611595981
theta[13],0.6674182685322501,0.6719085,0.5475543883123283,0.5395685484,-0.22569244999999993,1.5851744999999995,1.0012466242235736,1889.1769058590016,2202.366383553561
theta[14],1.5842319598,1.5883250000000002,0.5627757347261843,0.5859605849999999,0.6539719999999999,2.483997,0.9999573299769506,2153.4315981809073,2533.002375069712
theta[15],1.27174948020575,1.27326,0.5625476059342098,0.583781163,0.3630274,2.199095499999999,1.0000290868159512,2103.1345440502355,2574.7881905601826
theta[16],0.060028083489724986,0.058187199999999994,0.5545767448198403,0.5791401802199999,-0.8468681499999999,0.9759463999999995,0.9999428110927501,2082.4265290940075,2464.0202434477787
theta[17],1.078428225938,1.08297,0.6405841488491534,0.6490748670000002,0.04219154,2.125886999999999,1.000404884406532,2312.584419689383,2895.036182895691
theta[18],1.5611996405500002,1.55741,0.5685778390569364,0.5475686579999998,0.595936,2.500873999999998,1.0009821686692724,2015.9925617187648,2093.766161105699
theta[19],1.4928640089975,1.4920650000000002,0.5676985999779414,0.5689180979999998,0.5641174,2.4332329999999995,1.0012758731222577,2068.538707112211,2151.3874675983975
theta[20],0.38321169665025,0.3753685,0.5616067622162841,0.5411215718999999,-0.54738215,1.2970274999999996,1.0011195220339062,2036.5088092436795,2073.6232475568822
theta[21],0.45940973362625,0.459981,0.5717701730371557,0.5588475374999999,-0.4833983,1.413906,1.001280059116728,2130.806388508056,2186.591018909365
phi[1],0.812662833312,0.812287,0.38886262370515384,0.3722089539,0.17987410000000004,1.4425005,1.0010094378248224,2655.87932181201,2139.624627130328
phi[2],0.362381185619525,0.362438,0.41716987739603845,0.39823673819999994,-0.32734755,1.0289584999999999,1.0006296941043662,2905.7437535417175,2424.3209771012935
phi[3],0.84451708497025,0.8489035,0.395947299454238,0.37365226500000004,0.19841985,1.5032399999999997,1.000970365889094,2628.282893914897,2437.4576465392042
phi[4],1.3811411229125001,1.372985,0.46418249255884564,0.4360993770000001,0.6426066,2.164538,1.0004754001868306,3394.3055924820005,3035.840061057969
phi[5],1.1187222218750001,1.1185150000000001,0.32383375320992086,0.3170302884000001,0.58926395,1.6462320000000001,1.0003778379238053,2139.688720585505,2469.2163724323705
phi[6],1.2410513736000002,1.23144,0.3837040461572509,0.37255143450000017,0.626012,1.8859344999999998,1.001231556889466,2787.7998540255658,3052.155177971194
phi[7],0.7804041005425,0.7811435,0.32267079757340544,0.3158464323,0.25905845,1.3112439999999999,1.0004154525255973,2120.9569946953006,2445.3857995640697
phi[8],0.604072202216575,0.6045179999999999,0.3797596744278667,0.36839200020000007,-0.019393154999999992,1.2329649999999996,1.0009167310510911,2751.3582628719882,2993.2981345735934
phi[9],0.806034369721525,0.8074565,0.3306882067616349,0.32681470710000005,0.2667491,1.3380299999999998,1.0010234098189217,2226.6394888294544,2629.2079167677302
