variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-22.6411471225,-22.26445,4.712158994035187,4.697099190000001,-31.04863,-15.717045000000008,1.003797770068322,1060.5212099024843,1484.9893744521523
mu,0.7761575577709501,0.765886,0.4604358195108485,0.4583361531000001,0.012197485000000006,1.538136,1.000762810505925,1981.9959817916856,2435.2296929231884
tau,0.52022798875,0.5075529999999999,0.10047037648722872,0.09101533140000012,0.38023579999999996,0.7061621999999999,1.0014403260521378,1490.1577811120899,2644.676315375625
beta[1],0.414205137172625,0.4139595,0.5064583747458361,0.5079632229000001,-0.4022685,1.2374745,1.0005047038029733,1952.4825412263115,2191.9127827338802
beta[2],-0.029726792620500025,-0.022765599999999997,0.47989185018663294,0.48374139365999985,-0.83960015,0.7415841999999999,1.0013928899411222,1736.9891759824347,2269.1211981135198
beta[3],0.35746519212057504,0.3651095,0.5135759151836898,0.5232500891099999,-0.484675,1.1888444999999999,1.0006690288739033,2067.679745930152,2094.2804170243776
beta[4],0.040007810720999966,0.03536445,0.5012822150491738,0.508272345,-0.7809209,0.8644219499999997,1.0016201683386845,1994.93560422688,2215.298657498542
phi[1],0.77142729966775,0.7656954999999999,0.5065899069826157,0.5107564412999998,-0.06046020999999997,1.5994539999999995,1.0003704225980197,1917.437413817394,2124.572789146415
phi[2],0.3132048767935,0.32125899999999996,0.5303746574219026,0.5180772977099999,-0.5394283,1.1944734999999997,1.0005764664401826,2142.8607494390667,2122.8766686446806
phi[3],0.8015950544732501,0.8018049999999999,0.5145471200375603,0.5218915085999999,-0.02362217999999997,1.6523325,1.0003773587751457,1984.5486937683704,2332.31959426585
phi[4],1.3295037605305,1.33433,0.5733407131669505,0.5728047339,0.3815301,2.2948679999999997,1.0004738689066681,2488.395173903165,2600.098341422297
phi[5],1.07137851325075,1.0684050000000003,0.48285057978299173,0.48563749080000007,0.28672105,1.8877640000000002,1.0013261452323565,1788.4317956305215,2139.91805469162
phi[6],1.1816541642525,1.173085,0.5318884440565053,0.5327945490000003,0.3259158,2.0693634999999997,1.0015554173502343,2207.9842425167403,2606.4064498655525
phi[7],0.73363293146075,0.7288085,0.4819351036964172,0.4825321851,-0.046832069999999906,1.5437119999999993,1.0012336769358376,1766.6857062626086,2345.2381345271324
phi[8],0.55245170875225,0.5519229999999999,0.5264303946304144,0.51905826,-0.30279744999999997,1.4298779999999995,1.0009026677639554,2248.7187172394183,2208.645027817724
phi[9],0.7603517742275,0.7533110000000001,0.4872999482532379,0.49936266030000004,-0.029705244999999984,1.5862554999999998,1.001287723946945,1788.9397436991346,2350.943888712754
phi[10],0.71515532895,0.7025939999999999,0.4886797967333172,0.4936405656,-0.06928256499999998,1.5394120000000002,1.0017282235699636,1886.7009061502165,2453.326168994792
phi[11],1.0740325048300001,1.0618500000000002,0.48647710246645376,0.4849347384000003,0.29639285,1.895389,1.001280672416899,1784.2870443648599,2158.4890736141924
phi[12],0.41881543576575003,0.4100475,0.5065360718250332,0.50461884795,-0.4036275999999999,1.2594,1.0013159454795149,2063.0543041300602,2569.515882725078
phi[13],0.4708052728202,0.4636605,0.4811924851969667,0.48338468009999996,-0.3012811999999999,1.2877935000000003,1.001513051545863,1747.1627760636356,2382.9676476322697
phi[14],1.3958370143975,1.392525,0.5198117523765989,0.5354632289999999,0.54907165,2.2257325,1.0005590559032815,2063.432642900491,2303.6966730443223
phi[15],1.086800120054,1.083185,0.5203604153711654,0.516656448,0.2472418,1.9329450000000001,1.0007427844153998,2074.3705300183806,2333.794723414383
phi[16],-0.12513735925115,-0.126882,0.5134113077359223,0.5236943501999999,-0.9641615,0.7131361999999998,1.000640256974936,2047.898550969002,2093.7696972541
phi[17],0.8787565571815,0.8846194999999999,0.6168146543340107,0.6201804756,-0.15061799999999997,1.8884954999999992,1.0007159048382055,2637.999005436198,2570.9903987702414
phi[18],1.3689517742450001,1.3667600000000002,0.5082464935256156,0.50601138,0.5301313,2.1978985,1.0012154185215778,2009.3155171557219,2170.5825698068656
phi[19],1.3005248272,1.3056100000000002,0.5099262293918372,0.5196639021,0.46003565,2.1478795,1.0015410744561026,2076.7037202256965,2312.962684749535
phi[20],0.19349864587125,0.1959165,0.5029333024605332,0.5131656662999999,-0.6329897,1.018729,1.0015822015238849,1991.0358732206655,2246.0785745449766
phi[21],0.26615344550125,0.2641965,0.5119378256265104,0.52277031975,-0.5836184499999999,1.1032209999999998,1.00180957923027,1987.387503514086,2360.5504341471515
theta[1],1.18563241325,1.186465,0.06412397970090565,0.06456722999999996,1.0784255,1.291023,1.0005605231346306,4072.873500730886,3009.4238832986343
theta[2],0.72741005345,0.7299979999999999,0.20613613774365058,0.21339506580000003,0.39373820000000004,1.0605445000000002,1.000411819319807,5177.922848899486,3244.5132265238403
theta[3],1.215800199,1.2155250000000002,0.12283164244507554,0.12256654200000003,1.0176895000000001,1.4210145,1.0010193395782758,4613.751853453128,3166.234534392021
theta[4],1.7437087997500003,1.74079,0.3439277950712847,0.3302120850000001,1.1727525,2.3131174999999997,1.0012314040262402,4641.6410497517245,3116.66924011015
theta[5],1.04165163875,1.04189,0.0579289435609374,0.0575174670000002,0.9473577,1.1378305000000002,1.0001027133317033,4130.005652708378,3343.141347408534
theta[6],1.15192732275,1.145345,0.2406264278213473,0.24010410480000013,0.76022215,1.5600875,1.0005629891011925,5480.291079156247,2977.4816623417632
theta[7],0.70390615075,0.7041175,0.043205790745668736,0.041654388300000074,0.6332917,0.7757250499999999,1.0002399651603016,4085.5514705627947,3680.043139581782
theta[8],0.52272494528675,0.5216069999999999,0.23201659984626496,0.23758442609999994,0.13424774999999997,0.8997655999999998,0.9999946124170486,5392.186269354999,3008.735773330228
theta[9],0.73062500725,0.7306779999999999,0.09398384608579784,0.0918211245,0.57224995,0.8826316999999999,1.000824391913426,5060.4260060538145,3046.447889437575
theta[10],0.685428512,0.684812,0.0862733808883705,0.08486847179999998,0.5448445000000001,0.8327239999999999,1.0011106498773856,5058.453742321315,3050.2943056966074
theta[11],1.0443057847500001,1.0436050000000001,0.08833913133275417,0.08807088780000014,0.9030333500000001,1.1918945,1.0005210247970877,5189.354178126397,2970.8668574017797
theta[12],0.389088644882,0.390437,0.1785768179784917,0.17724408869999994,0.0920186,0.6830331999999999,1.0012321281804357,4946.972429342604,2340.964884995553
theta[13],0.44107843525,0.4409005,0.040853569910387404,0.040615827,0.37458919999999996,0.5080117500000001,1.0012091345533622,4304.564057943674,3226.441290241451
theta[14],1.7533022175000001,1.74991,0.12356467769027221,0.1209134429999999,1.5521635,1.9574735000000003,1.0015344011763478,4151.933407714458,3435.271938084123
theta[15],1.4442653227500002,1.4435000000000002,0.12938935396230744,0.12662886599999998,1.2312135000000002,1.6538565,1.0013719475275968,4048.976732653323,3292.5591483567623
theta[16],0.23232783625,0.232174,0.03434025279105231,0.03455199299999999,0.17526195,0.28696465,1.0003690995264263,4213.749839224423,3364.7514029750773
theta[17],1.2362217425250002,1.239195,0.42794244987884233,0.42128375520000017,0.5297052999999999,1.9490644999999998,1.001314528961964,4780.077015270755,3155.7963886072885
theta[18],1.408959665,1.4072550000000001,0.11114370801554901,0.10932692400000003,1.2272095,1.5931035,0.9997799695230288,4981.530435406879,3588.7514976702646
theta[19],1.3405326720000001,1.34119,0.11490233073246744,0.11719952999999993,1.1500935,1.531053,1.0007134312280563,4803.06688965713,3485.413280262473
theta[20],0.23350644199999998,0.234307,0.06122747405371217,0.0601164648,0.1318337,0.33228899999999995,1.0006168859169375,4168.050550402002,3538.7973102844385
theta[21],0.3061612797675,0.3070775,0.1423345189216984,0.14434741860000003,0.07555552499999998,0.5388745499999998,1.0016677478013016,5128.699731563701,3153.2095438969636
theta_new[1],1.195495430145,1.197405,0.6006814973526855,0.5821814376000002,0.19514805000000005,2.1849114999999997,1.0011759081120761,3099.3868676153697,3470.1835488002016
theta_new[2],0.7518778287715,0.7452585,0.5577726534651254,0.5176253271000001,-0.16109749999999998,1.6731124999999998,1.0011215227981396,3398.2862125649885,3620.0111828643926
theta_new[3],1.12655939494675,1.1167250000000002,0.5889632051343079,0.5853875601000001,0.1722627,2.093715,1.0002519845490672,3320.9455598901004,3215.611522212542
theta_new[4],0.8167147384350001,0.817105,0.5755448479725197,0.552817062,-0.11153614999999997,1.7618649999999993,1.0011470582702375,3654.6518338465416,3889.723593178512
