variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-3.76441413508725,-3.5470300000000003,4.822010132145232,4.6442052111,-12.058505000000002,3.8582324999999975,1.0051195212367556,544.6864185805762,337.78450963859854
beta[1],0.382436814874,0.3903415,0.5012228869823371,0.48834627513,-0.44877970000000006,1.1928445,1.0111825263016916,241.79280410444272,545.1869043458254
beta[2],-0.05706810189689996,-0.054723549999999996,0.4741723956917995,0.4512330164999999,-0.831581,0.72965065,1.012795446020577,196.0508687832136,369.97475162832586
beta[3],0.2391950122979499,0.23770349999999998,0.49763478442874143,0.5040120938999999,-0.5766987,1.0595075,1.012855346046325,238.86023586333047,513.3501050462272
beta[4],-7.999399227500012e-4,-0.009865005,0.5021737107921912,0.49039069898699994,-0.8091579000000001,0.8292421999999996,1.0097338023405324,249.88861990016858,519.6191797986443
theta[1],0.80035393797475,0.8032360000000001,0.5241771810385142,0.5125274069999999,-0.06667842999999998,1.6611064999999994,1.010307449931019,260.47799821764215,495.83805174635137
theta[2],0.56005021011875,0.5624024999999999,0.5556724416873209,0.5452572845999999,-0.36593709999999996,1.4476435,1.0099821581043247,230.43443643088153,646.8956860811054
theta[3],0.81292878237875,0.8113055,0.5357715520619305,0.512823927,-0.06652953999999998,1.7049595,1.0085412793407036,285.90970429431945,536.2113791818114
theta[4],1.0889679710950002,1.087755,0.5861265940228877,0.5648187090000001,0.1415686,2.061594499999999,1.0085884884073728,328.1159999908912,812.6218043096242
theta[5],1.01795141565,1.01895,0.5057325765453322,0.48579390510000015,0.1736221,1.8748154999999997,1.00983260957479,245.591036377056,463.3849299914622
theta[6],1.0080233817500002,1.00824,0.5639286929454573,0.5481661458,0.10468620000000002,1.9455,1.0078229474190814,335.7178706268313,700.1638945869722
theta[7],0.7694071322481575,0.765183,0.49975541840739596,0.49657388969999994,-0.06938116499999998,1.606461,1.0101820959128973,238.49976432267133,413.05481733443094
theta[8],0.690599589348,0.701506,0.5527777721771082,0.5409725706000001,-0.23114129999999997,1.5749345000000001,1.010766402879295,266.25671319175217,615.9576679683001
theta[9],0.7939674948400001,0.7909984999999999,0.5179748245794802,0.5045265561000001,-0.05108900499999999,1.6657855000000001,1.0121227891020386,251.01582805490355,457.8492924949534
theta[10],0.758270659071,0.7597324999999999,0.5136392487707571,0.5084762025000003,-0.1004706,1.6010659999999997,1.0102536697007714,218.38137765337248,507.9404518697726
theta[11],1.00239864255975,1.0088650000000001,0.5308988270738845,0.5164251624,0.13995015,1.8789609999999999,1.0103240334145767,260.18072091292527,448.74080993682213
theta[12],0.61228540818775,0.6138395,0.5450727170936593,0.5397472017,-0.28758344999999996,1.4985709999999997,1.0091644862632265,239.7941405590388,521.9574151179152
theta[13],0.56584193841655,0.5686595,0.5001634009373235,0.48072786089999986,-0.27720745,1.3850939999999998,1.011564695761791,208.41456519430338,397.99290888229723
theta[14],1.22592181354035,1.22993,0.5395351127446709,0.5141953320000003,0.34655155000000004,2.1132454999999988,1.0111591521578756,337.69565707417945,761.8064023788994
theta[15],1.03097908201775,1.02799,0.5311378689741533,0.5325647460000001,0.17120875,1.9124939999999988,1.009753302513101,303.02946040988235,540.8671902100647
theta[16],0.13173637071575,0.1388705,0.5191787444965482,0.5238663318,-0.7392712999999999,0.99165045,1.0141930282741987,213.68764666513076,517.0865117845033
theta[17],0.882974204548,0.8818334999999999,0.5884938316129615,0.5892808677,-0.06313415499999996,1.8408609999999996,1.0111149476259966,368.57852583007696,825.6506287643087
theta[18],1.1847110329175001,1.18738,0.5418561295255397,0.5304572301000001,0.2938489,2.0689705,1.0071244157708348,325.34455554287626,560.0882316156108
theta[19],1.134290154459,1.13813,0.5455589913951422,0.526078371,0.24861115,2.028886999999999,1.0071268842373706,336.6359270297661,654.73884473432
theta[20],0.383472483878,0.39063250000000005,0.5296765477394795,0.5288604698999999,-0.49253175,1.2261674999999999,1.0085255582619532,235.29652999528312,554.4182174843363
theta[21],0.5143847597315,0.522877,0.5465627576104146,0.5478066153,-0.41001544999999995,1.3756035,1.0097982568463573,239.4368621650449,598.8910836793156
mu,0.80211341115475,0.798279,0.4544294621952368,0.4419623187000001,0.04487357000000001,1.5376075,1.0136114749476342,183.64844004936245,358.11503622369696
tau,0.42946027324999997,0.417473,0.1241359254521876,0.1137102309,0.2517559,0.6525912999999998,1.0032865624557574,515.266217904132,249.45271753772317
y_new[1],1.18771360677325,1.193815,0.5345127256180826,0.49270504499999995,0.29679600000000006,2.056113,1.0008546611949365,3936.6017994401764,3295.8789569372634
y_new[2],0.743437547761425,0.7437495,0.48021239320021564,0.4393529427,-0.05731213999999995,1.5319355,1.000197458128987,3800.183945358728,3283.8505824192166
y_new[3],1.03859969657825,1.0236100000000001,0.5344609698457135,0.504558432,0.18969335000000007,1.9279369999999998,0.9994744292982294,3470.0123729171464,3874.7430348997204
y_new[4],0.77497376577625,0.785589,0.5111765918963774,0.4794342924000001,-0.06495096999999998,1.5856949999999999,1.0011270111190949,3826.6474778751103,3603.669081669758
