variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-21.1267395475,-20.836150000000004,4.568622240837107,4.567742339999997,-28.961835,-14.020735000000004,1.0042962980317824,679.5007356717473,1552.81106118344
mu,0.91829679325,0.918987,0.12045788322434418,0.11800606440000007,0.71862305,1.1175645,1.0076682518411244,564.622904412003,1099.6977443208946
tau,0.52978901875,0.5164545,0.10038634834859309,0.09394643160000005,0.39147435,0.7215523999999999,1.007196844651605,698.789787473305,1098.5616695280553
theta[1],1.18586646925,1.18581,0.061958743637729165,0.061913376000000186,1.0847355,1.286543,0.9998675863199665,6239.875859542227,3679.8536971589874
theta[2],0.689832486495,0.690689,0.20688741370158148,0.2106122256,0.3562864,1.0256225,1.0025696013942105,4462.41780199097,3052.247150104089
theta[3],1.2025843090000001,1.20304,0.11970104993072174,0.11949014699999995,1.0053775,1.40086,1.0004740901994065,6455.834435015293,3293.3742176084547
theta[4],1.6597257745,1.6558950000000001,0.3307381099561532,0.3239629260000001,1.1206635,2.222525,1.0010283989335913,2550.9693194581673,2791.763136835366
theta[5],1.04212522975,1.04331,0.056377255629056974,0.05624984399999996,0.949341,1.1351125000000002,1.0004299139528083,6080.698834682233,3379.8396981859473
theta[6],1.20224906275,1.20531,0.2333788531283841,0.2338282589999999,0.82912035,1.5849589999999996,1.0013651657989044,4178.931618312301,3294.848635029355
theta[7],0.70707848575,0.7072989999999999,0.04331663374069429,0.04275002969999989,0.6354978,0.7804019999999999,1.0004168155213526,4402.833199382107,3322.574373519244
theta[8],0.55704630885525,0.5550305,0.22690790611211217,0.2221624209,0.17451809999999998,0.9318830499999997,1.0011158496493024,4541.007660714826,3061.3459429499085
theta[9],0.733303183,0.732752,0.09506073182786318,0.09661733549999998,0.5772655499999999,0.8902318499999997,1.0007339698759294,6239.180007634553,2663.4820723813095
theta[10],0.6904454944999999,0.689594,0.08566475062302918,0.0830196695999999,0.5494807999999999,0.8331959,0.9993278707236314,7991.356653036307,2903.704437348178
theta[11],1.049734288,1.049175,0.08837958190512957,0.08794634940000001,0.9060792999999999,1.199197,0.9998391618780857,7328.552086931656,3244.7853277551467
theta[12],0.40582729705325,0.4052225,0.1792396374460262,0.17719886940000001,0.11225535,0.7001137,1.0008582437774003,5260.825345103,2620.787083054049
theta[13],0.44391053799999997,0.4443195,0.040083265955058615,0.040760380500000006,0.37889739999999994,0.5104792499999999,1.0012495026388641,4081.3258803486947,3174.6577287544096
theta[14],1.7434583925000002,1.7415150000000001,0.12568200253449666,0.12109876799999995,1.533595,1.953573,0.9998017519394206,6187.670274001325,2739.58492985375
theta[15],1.4248165495,1.4225750000000001,0.12808006618843454,0.1282745519999999,1.220154,1.6299775000000003,0.9998888709785394,6263.437221137235,3075.658287815639
theta[16],0.231140544,0.230656,0.034870723198510804,0.03487519980000002,0.17243865,0.28853995,1.000313633790175,4283.428596383191,3509.92540853109
theta[17],1.1044969990475,1.1036900000000003,0.411296660221952,0.40673500140000013,0.42942345,1.79226,1.000407301002099,3580.7247320090373,2813.1315894586623
theta[18],1.4139358075000001,1.416655,0.10923534578807491,0.10800740999999996,1.2350935,1.5947875,1.0004110408283147,7019.523699362733,3206.186820874383
theta[19],1.348213303,1.347045,0.11543050614780115,0.11282585999999992,1.156769,1.5371659999999998,1.0014061193875405,6301.811561849994,2824.2222010461405
theta[20],0.23493277532499998,0.2341705,0.06090332226874674,0.060564210000000014,0.13769895,0.3383027999999999,1.0007827469057065,4827.1315111842505,3266.808822532493
theta[21],0.31657691906624996,0.31565299999999996,0.13899977345948367,0.14075359620000003,0.09343847,0.54915875,1.0014055465561051,6955.803679787206,3154.3391106722097
theta_new,0.93778316844,0.9314995,0.5420300761735226,0.5247373593,0.03231870500000009,1.8345310000000001,1.0017576390966048,3555.185791834408,3677.983308670908
