variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-21.2621394725,-20.9643,4.735822272242699,4.791911459999999,-29.65266,-13.944920000000003,1.0004832108198443,719.2684510834262,1639.7765978634004
mu,0.915312456,0.9129695,0.1244938706948145,0.12176000759999996,0.7149970000000001,1.1225824999999996,1.0018043187457457,605.9415729436272,899.0936501055432
tau,0.530611112,0.5160754999999999,0.10683089001115541,0.09778043519999997,0.38650304999999996,0.72509255,1.0012758310498309,731.919250434712,1144.6618056669454
theta[1],1.18265869525,1.1839650000000002,0.06360207659726413,0.0636776699999999,1.0776075000000003,1.2873235,0.9999710432883201,6896.853854457181,3303.2519360275305
theta[2],0.689605907175,0.6903269999999999,0.20330039828735547,0.20760032369999998,0.3449992,1.0229819999999998,1.001985313497484,4532.561754361331,2618.326929651803
theta[3],1.20097167325,1.19863,0.1213662811798952,0.12155096099999996,1.0061210000000003,1.400858,1.0005366655230263,6685.127669737313,3167.0173627036625
theta[4],1.6497812525000002,1.6409000000000002,0.3400995269219256,0.3378993659999999,1.1025800000000001,2.2142565,1.0007872690214878,2736.794206767182,2574.9575443581607
theta[5],1.04308094025,1.043485,0.058205063442240704,0.05917797899999988,0.9462787,1.13581,1.000610402193719,5986.714523772644,3175.0605101123692
theta[6],1.19409852775,1.19082,0.2412649017727777,0.2471790720000001,0.7986092,1.586623,1.0005263940670295,4327.942212088619,2333.5365259023815
theta[7],0.70576657825,0.7063200000000001,0.04273151107109341,0.04177744409999999,0.6342182000000001,0.7749688499999998,1.0013223582073316,4828.511973830235,3122.5640998787885
theta[8],0.5610378376795,0.564894,0.2328716381841501,0.2318905008,0.1723144,0.9413937999999998,1.0023321942709893,4223.037107979713,3042.6088048768643
theta[9],0.73737447825,0.7369264999999999,0.09345291286500804,0.09026587710000004,0.5828473000000001,0.8926678499999999,1.0007237706234753,7213.918308552768,3095.2651042191774
theta[10],0.689627389,0.6899085,0.08582693156142168,0.08868764940000001,0.55073245,0.8308530999999999,1.0032617865425308,6432.279966490993,2988.8648616107694
theta[11],1.05122054125,1.052105,0.08822872979671471,0.08675433900000014,0.90741225,1.19697,1.001694951909279,7528.349631075705,3070.703714364055
theta[12],0.4075743355425,0.40770300000000004,0.18119967764981032,0.18001136159999995,0.10549494999999999,0.7113000999999998,1.0002915368459364,5020.052962646723,3053.664852479295
theta[13],0.44203754024999997,0.44208499999999995,0.039021618561980165,0.03901091249999994,0.3780359,0.5069124500000001,1.0002992365001924,4128.692701940791,3169.6282390120164
theta[14],1.7432896875000001,1.7434350000000003,0.12216476254214671,0.1217733510000001,1.5436260000000002,1.9424095,1.0007858655969475,6296.090205083177,3243.609497404986
theta[15],1.42694951,1.4277900000000001,0.12147161922885283,0.12253689000000016,1.2271495000000001,1.6235035000000002,1.0005945319225125,7376.402145318046,3098.478823144017
theta[16],0.23056164775,0.2305045,0.03412821165932131,0.03334145009999999,0.17417570000000002,0.28937684999999996,1.000790321354559,3719.094970112245,3085.10229621993
theta[17],1.100811051475,1.0917750000000002,0.42341581067805273,0.41206643099999996,0.38580764999999995,1.8001435000000001,1.0013045122609607,3444.9426591949873,2506.983540445922
theta[18],1.4157196172500002,1.414895,0.11152105157444418,0.11143221600000017,1.2314275000000001,1.5988134999999999,1.001129594039541,6185.192479283123,2995.1120601385296
theta[19],1.34660330625,1.3458800000000002,0.11405883634728906,0.115679865,1.161048,1.531825,1.0013980701134886,7070.210904847159,3337.1575362539334
theta[20],0.234762100625,0.23477949999999997,0.06005828517623418,0.059444105699999965,0.13613470000000003,0.33488709999999994,1.0002040451852925,4350.629048180906,3213.2047814318958
theta[21],0.31961107743825,0.3197865,0.14408114413077686,0.14709986549999998,0.07827822499999999,0.5538624499999999,1.0018380999853722,5963.923764759626,2923.1795895259634
theta_new,0.9102206006445,0.912196,0.5544253622105196,0.5330562279,-0.0069380925,1.8066525,0.9998064529094356,3097.321941934717,3115.7712889619033
